pattern,support
"[1, 2, 3, 4, 5, 6, 10, 7, 8, 9]",2.2296090203
"[1, 2, 3, 4, 5, 6, 10, 7, 9, 8]",2.3114172863
"[1, 2, 3, 4, 5, 6, 10, 8, 7, 9, 11]",3.3261583151
"[1, 2, 3, 4, 5, 6, 10, 8, 7, 9]",4.7885031631
"[1, 2, 3, 4, 5, 6, 10, 9, 8, 7]",2.3582132791
"[1, 2, 3, 4, 5, 6, 7, 10, 11, 9, 8]",2.5120468977
"[1, 2, 3, 4, 5, 6, 7, 10, 8, 9, 11]",2.7816196749
"[1, 2, 3, 4, 5, 6, 7, 10, 8, 9]",8.0981953241
"[1, 2, 3, 4, 5, 6, 7, 10, 9, 8]",9.6768426870
"[1, 2, 3, 4, 5, 6, 7, 11, 8, 10, 9]",2.3114172863
"[1, 2, 3, 4, 5, 6, 7, 11, 9, 8, 10, 12]",2.4018122512
"[1, 2, 3, 4, 5, 6, 7, 11, 9, 8, 10]",3.8641972071
"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 9]",4.2475408245
"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 11, 9]",2.0184373469
"[1, 2, 3, 4, 5, 6, 7, 8, 10, 9, 11, 12]",2.1215567917
"[1, 2, 3, 4, 5, 6, 7, 8, 10, 9, 11]",4.9103591953
"[1, 2, 3, 4, 5, 6, 7, 8, 10, 9]",18.7154968545
"[1, 2, 3, 4, 5, 6, 7, 8, 11, 10, 9]",6.7681949701
"[1, 2, 3, 4, 5, 6, 7, 8, 11, 9, 10]",2.6741697513
"[1, 2, 3, 4, 5, 6, 7, 8, 12, 10, 9, 11]",3.0873034079
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",4.6997770968
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 13]",3.0292196845
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",10.1938524239
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 12]",4.9993266805
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 13, 12]",2.0365624804
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",20.1630578765
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 11]",8.2393452324
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 11, 12]",2.1641056028
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 12, 11]",2.0365624804
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",37.7705740244
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 10, 12, 13]",2.1215567917
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 10, 12]",2.7093136840
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 10]",11.3741193472
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 12, 10]",2.0184373469
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 10, 11]",2.1641056028
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 11, 10]",4.1137897472
"[1, 2, 3, 4, 5, 6, 7, 8, 9]",75.6045243037
"[1, 2, 3, 4, 5, 6, 7, 8]",149.2548818054
"[1, 2, 3, 4, 5, 6, 7, 9, 10, 8, 11]",3.5179048776
"[1, 2, 3, 4, 5, 6, 7, 9, 10, 8, 12, 11]",2.6089768341
"[1, 2, 3, 4, 5, 6, 7, 9, 10, 8]",10.6666379723
"[1, 2, 3, 4, 5, 6, 7, 9, 11, 10, 8]",3.4469820348
"[1, 2, 3, 4, 5, 6, 7, 9, 8, 10, 11, 12, 13]",3.4070520593
"[1, 2, 3, 4, 5, 6, 7, 9, 8, 10, 11, 12]",4.4961297388
"[1, 2, 3, 4, 5, 6, 7, 9, 8, 10, 11]",8.0763628267
"[1, 2, 3, 4, 5, 6, 7, 9, 8, 10, 12, 11]",2.4326229581
"[1, 2, 3, 4, 5, 6, 7, 9, 8, 10]",11.5626001274
"[1, 2, 3, 4, 5, 6, 7, 9, 8]",36.1413161697
"[1, 2, 3, 4, 5, 6, 7]",299.3696405328
"[1, 2, 3, 4, 5, 6, 8, 10, 7, 9, 11]",2.2396442191
"[1, 2, 3, 4, 5, 6, 8, 10, 7, 9]",2.2395470397
"[1, 2, 3, 4, 5, 6, 8, 10, 9, 7]",3.9632362607
"[1, 2, 3, 4, 5, 6, 8, 7, 10, 9]",3.4668844841
"[1, 2, 3, 4, 5, 6, 8, 7, 9, 10, 11, 12]",4.5086392783
"[1, 2, 3, 4, 5, 6, 8, 7, 9, 10, 11, 13, 12]",2.2642971811
"[1, 2, 3, 4, 5, 6, 8, 7, 9, 10, 11]",9.1139562645
"[1, 2, 3, 4, 5, 6, 8, 7, 9, 10, 12, 11, 13]",2.9308688590
"[1, 2, 3, 4, 5, 6, 8, 7, 9, 10, 12, 11]",2.9307416870
"[1, 2, 3, 4, 5, 6, 8, 7, 9, 10]",18.3026068831
"[1, 2, 3, 4, 5, 6, 8, 7, 9, 11, 10]",5.0545509893
"[1, 2, 3, 4, 5, 6, 8, 7, 9]",27.6323384700
"[1, 2, 3, 4, 5, 6, 8, 7]",78.5828772568
"[1, 2, 3, 4, 5, 6, 8, 9, 10, 7]",3.8091630151
"[1, 2, 3, 4, 5, 6, 8, 9, 7, 10]",5.0289862433
"[1, 2, 3, 4, 5, 6, 8, 9, 7, 11, 10]",2.6089768341
"[1, 2, 3, 4, 5, 6, 8, 9, 7]",18.6726722471
"[1, 2, 3, 4, 5, 6, 9, 10, 8, 7]",4.4620245088
"[1, 2, 3, 4, 5, 6, 9, 7, 8, 10]",7.4868711693
"[1, 2, 3, 4, 5, 6, 9, 7, 8, 11, 10, 12]",2.2303761642
"[1, 2, 3, 4, 5, 6, 9, 7, 8, 11, 10]",3.6868582710
"[1, 2, 3, 4, 5, 6, 9, 7, 8]",17.1263048580
"[1, 2, 3, 4, 5, 6, 9, 8, 10, 7]",2.8298935064
"[1, 2, 3, 4, 5, 6, 9, 8, 11, 7, 10]",2.2647553320
"[1, 2, 3, 4, 5, 6, 9, 8, 7, 10, 11]",3.8273745361
"[1, 2, 3, 4, 5, 6, 9, 8, 7, 10]",4.9826988142
"[1, 2, 3, 4, 5, 6, 9, 8, 7]",16.8662593125
"[1, 2, 3, 4, 5, 6]",578.6386280609
"[1, 2, 3, 4, 5, 7, 10, 11, 9, 6, 8]",2.1877049823
"[1, 2, 3, 4, 5, 7, 10, 9, 6, 8]",2.8035228040
"[1, 2, 3, 4, 5, 7, 10, 9, 8, 6]",2.1692602092
"[1, 2, 3, 4, 5, 7, 6, 10, 9, 8]",2.6379210632
"[1, 2, 3, 4, 5, 7, 6, 8, 10, 11, 9]",2.2468592157
"[1, 2, 3, 4, 5, 7, 6, 8, 10, 9, 11]",2.2160225711
"[1, 2, 3, 4, 5, 7, 6, 8, 10, 9]",9.1834757149
"[1, 2, 3, 4, 5, 7, 6, 8, 11, 10, 9]",2.3694632542
"[1, 2, 3, 4, 5, 7, 6, 8, 9, 10, 11, 12]",3.1044020178
"[1, 2, 3, 4, 5, 7, 6, 8, 9, 10, 11]",8.6256876686
"[1, 2, 3, 4, 5, 7, 6, 8, 9, 10, 12, 11, 13]",2.2218171173
"[1, 2, 3, 4, 5, 7, 6, 8, 9, 10, 12, 11]",4.0339549572
"[1, 2, 3, 4, 5, 7, 6, 8, 9, 10]",17.5460088553
"[1, 2, 3, 4, 5, 7, 6, 8, 9, 11, 10, 12, 13]",2.4139759846
"[1, 2, 3, 4, 5, 7, 6, 8, 9, 11, 10, 12]",3.5677144973
"[1, 2, 3, 4, 5, 7, 6, 8, 9, 11, 10]",5.3830751232
"[1, 2, 3, 4, 5, 7, 6, 8, 9]",33.8235944992
"[1, 2, 3, 4, 5, 7, 6, 8]",53.9527154936
"[1, 2, 3, 4, 5, 7, 6, 9, 10, 8]",2.2644231434
"[1, 2, 3, 4, 5, 7, 6, 9, 11, 10, 8]",2.3880118961
"[1, 2, 3, 4, 5, 7, 6, 9, 8, 10, 11]",2.0551789676
"[1, 2, 3, 4, 5, 7, 6, 9, 8, 10]",4.5440247312
"[1, 2, 3, 4, 5, 7, 6, 9, 8]",10.2270785434
"[1, 2, 3, 4, 5, 7, 6]",146.0252185205
"[1, 2, 3, 4, 5, 7, 8, 6, 10, 9]",3.6763835718
"[1, 2, 3, 4, 5, 7, 8, 6, 9, 10]",2.8488272945
"[1, 2, 3, 4, 5, 7, 8, 6, 9]",8.3913927772
"[1, 2, 3, 4, 5, 7, 8, 6]",39.3112151062
"[1, 2, 3, 4, 5, 7, 8, 9, 6]",9.6674220851
"[1, 2, 3, 4, 5, 7, 9, 10, 6, 8]",2.5468814539
"[1, 2, 3, 4, 5, 7, 9, 10, 8, 6]",3.3317524578
"[1, 2, 3, 4, 5, 7, 9, 6, 8, 10, 11, 12]",2.9594736530
